0,1,1
0,10,2
0,1,1
0,10,2
0,14,3
0,1,1
7,12,1
7,4,1
7,12,1
7,13,2
7,4,1
7,10,3
7,12,1
7,13,2
7,4,1
8,0,1
8,11,1
8,0,1
8,11,1
8,0,1
8,10,3
8,11,1
9,15,1
9,4,1
9,15,1
9,0,2
9,4,1
9,15,1
9,0,2
9,4,1
10,14,1
10,6,1
10,8,2
10,13,2
10,14,1
10,6,1
10,8,2
10,13,2
10,14,1
10,6,1
11,12,1
11,14,1
11,12,1
11,14,1
11,12,1
11,14,1
12,9,1
12,9,1
12,1,2
12,15,3
12,0,3
12,9,1
12,1,2
13,7,1
13,5,1
13,7,1
13,5,1
13,15,3
13,7,1
13,5,1
14,11,2
14,12,2
14,11,2
14,12,2
1,6,1
1,15,2
1,11,2
1,6,1
1,15,2
1,11,2
1,6,1
3,6,2
3,8,3
3,9,3
3,6,2
4,5,1
4,7,2
4,2,2
4,5,1
4,7,2
4,13,3
4,2,2
4,5,1
5,9,1
5,3,1
5,7,2
5,9,1
5,3,1
5,7,2
5,9,1
5,3,1
6,8,1
6,4,1
6,15,2
6,8,1
6,4,1
6,15,2
6,8,1
6,4,1
